aX,aY,aZ,gX,gY,gZ
-0.569,0.979,0.696,-4.578,71.350,-102.112
-0.530,0.960,0.696,-1.831,77.026,-112.244
-0.494,0.947,0.689,0.549,80.750,-123.047
-0.456,0.933,0.681,0.427,82.031,-132.812
-0.418,0.905,0.670,-2.075,80.505,-141.663
-0.378,0.864,0.643,-6.409,76.660,-150.879
-0.340,0.822,0.609,-12.573,70.251,-160.706
-0.297,0.765,0.589,-19.470,61.707,-171.265
-0.258,0.704,0.575,-25.269,53.589,-180.603
-0.214,0.646,0.559,-29.053,47.668,-187.622
-0.180,0.602,0.560,-29.724,44.312,-193.176
-0.142,0.556,0.560,-26.794,45.166,-197.571
-0.099,0.540,0.569,-22.339,51.575,-201.050
-0.077,0.502,0.556,-16.052,60.608,-202.698
-0.038,0.452,0.546,-10.132,70.740,-204.468
0.009,0.397,0.527,-6.836,79.712,-207.092
0.060,0.335,0.501,-5.493,86.670,-210.022
0.115,0.282,0.475,-4.639,92.224,-211.792
0.165,0.221,0.452,-5.066,96.802,-210.937
0.216,0.176,0.422,-7.263,100.525,-207.275
0.248,0.157,0.388,-10.620,103.149,-201.599
0.268,0.138,0.360,-13.123,105.652,-196.899
0.292,0.083,0.329,-13.062,109.192,-194.885
0.361,0.007,0.271,-10.620,114.197,-193.726
0.407,-0.053,0.235,-7.019,119.812,-190.918
0.461,-0.090,0.208,-2.441,124.756,-185.486
0.484,-0.140,0.176,2.258,132.141,-180.298
0.510,-0.196,0.131,6.409,141.113,-178.040
0.600,-0.262,0.075,10.986,148.743,-177.490
0.684,-0.332,0.024,16.174,155.701,-175.659
0.735,-0.425,-0.033,20.996,164.673,-174.866
0.825,-0.580,-0.113,25.024,173.828,-175.842
0.971,-0.714,-0.194,28.625,176.880,-170.715
1.032,-0.762,-0.251,28.687,166.138,-155.701
1.015,-0.689,-0.269,20.508,141.541,-136.475
0.948,-0.574,-0.229,4.211,110.229,-121.338
0.916,-0.498,-0.190,-13.367,80.505,-112.610
0.963,-0.459,-0.109,-19.409,65.002,-106.873
0.937,-0.496,-0.033,-7.996,67.932,-106.934
0.996,-0.505,-0.001,13.123,95.093,-110.046
1.018,-0.550,-0.068,29.480,129.517,-112.244
0.993,-0.547,-0.123,36.499,147.400,-110.413
0.972,-0.527,-0.181,35.095,150.574,-102.173
0.967,-0.522,-0.233,26.550,138.672,-93.262
0.999,-0.548,-0.241,12.573,114.258,-86.609
1.026,-0.576,-0.249,-2.075,87.708,-82.214
1.045,-0.597,-0.292,-12.085,67.444,-78.308
1.130,-0.620,-0.355,-13.977,53.040,-74.341
1.179,-0.625,-0.351,-8.301,44.128,-71.960
1.971,-1.029,-0.118,8.606,-37.476,-78.308
1.806,-1.050,0.000,5.981,-28.076,-51.270
1.583,-0.995,0.024,9.033,9.033,-24.780
1.405,-0.834,-0.099,25.269,49.805,-4.089
1.174,-0.677,-0.216,42.664,76.233,11.047
1.175,-0.492,-0.293,49.500,88.745,20.264
0.972,-0.356,-0.316,51.575,89.539,24.658
0.840,-0.262,-0.322,55.237,86.914,22.034
0.735,-0.158,-0.342,63.904,89.111,18.677
0.681,-0.065,-0.371,73.425,92.102,14.160
0.635,-0.021,-0.370,78.308,86.182,7.751
0.602,-0.039,-0.330,75.439,69.641,-3.174
0.606,-0.037,-0.269,66.467,47.546,-13.000
0.641,-0.036,-0.205,52.429,26.367,-19.531
0.662,-0.058,-0.165,33.630,9.705,-24.109
0.707,-0.105,-0.140,13.428,-1.465,-30.396
0.764,-0.149,-0.134,-0.427,-3.296,-36.377
0.841,-0.210,-0.169,-2.319,1.465,-36.011
0.884,-0.289,-0.212,0.671,10.498,-31.128
0.902,-0.349,-0.275,2.319,18.005,-24.597
0.956,-0.366,-0.315,1.709,19.409,-19.531
1.190,-0.354,-0.344,-1.099,14.038,-15.381
1.035,-0.374,-0.328,-6.287,5.005,-10.742
1.090,-0.380,-0.297,-15.198,-0.305,-5.066
1.083,-0.386,-0.308,-20.386,-0.061,-2.380
1.076,-0.420,-0.323,-20.813,1.343,-2.075
1.073,-0.445,-0.350,-19.470,4.456,-1.221
1.029,-0.454,-0.355,-16.785,6.165,-0.061
0.990,-0.432,-0.340,-12.207,7.019,1.892
0.944,-0.395,-0.322,-5.127,8.118,2.869
0.897,-0.363,-0.295,2.441,9.521,2.808
0.863,-0.341,-0.275,8.179,13.184,2.747
0.857,-0.321,-0.273,11.169,16.724,2.869
0.805,-0.300,-0.267,11.169,16.602,2.625
0.820,-0.292,-0.259,8.667,13.184,1.038
0.853,-0.294,-0.252,4.211,8.179,-0.610
0.874,-0.300,-0.243,-2.441,3.967,-0.488
0.899,-0.325,-0.257,-9.033,1.587,-0.305
0.933,-0.352,-0.302,-13.000,0.732,-0.793
0.953,-0.372,-0.334,-13.977,0.610,-0.427
0.945,-0.374,-0.352,-11.963,2.380,0.732
0.925,-0.357,-0.368,-7.446,5.249,2.319
0.917,-0.324,-0.376,-1.770,6.775,2.380
0.905,-0.306,-0.379,1.465,5.554,1.770
0.900,-0.307,-0.370,0.977,2.075,1.282
0.920,-0.314,-0.360,-1.038,-2.014,1.221
0.879,-0.313,-0.341,-2.563,-6.348,1.709
0.876,-0.297,-0.314,-3.479,-7.996,1.099
0.876,-0.296,-0.303,-3.296,-6.897,-0.122
0.879,-0.305,-0.304,-2.808,-5.493,-0.549
0.873,-0.302,-0.306,-2.319,-4.272,-0.549
0.869,-0.294,-0.310,-1.587,-2.808,-0.793
0.875,-0.287,-0.314,-0.427,-1.709,-1.099
0.893,-0.286,-0.328,0.488,-1.892,-2.014
0.899,-0.297,-0.325,1.404,-2.319,-2.991
0.906,-0.315,-0.312,3.540,-2.136,-3.906
0.918,-0.346,-0.303,5.371,-1.892,-5.005
0.931,-0.376,-0.288,5.432,-2.441,-5.676
0.937,-0.385,-0.275,3.418,-3.479,-3.906
0.933,-0.370,-0.260,1.221,-4.333,-1.404
0.942,-0.354,-0.266,-0.610,-2.930,0.610
0.929,-0.352,-0.283,-0.488,0.305,2.197
0.925,-0.349,-0.300,1.282,4.517,3.418
0.914,-0.343,-0.312,4.150,7.751,3.784
0.910,-0.334,-0.324,6.348,9.094,3.540
0.907,-0.326,-0.331,7.629,7.935,2.441
0.912,-0.323,-0.332,7.019,4.944,1.831
0.915,-0.326,-0.334,4.822,1.953,1.343
0.917,-0.325,-0.339,2.258,-0.793,1.160
0.927,-0.330,-0.341,0.122,-3.601,0.977
0.917,-0.335,-0.341,-1.282,-6.409,0.671
0.931,-0.342,-0.335,-1.831,-7.751,0.854
0.940,-0.346,-0.347,-2.380,-8.484,1.831
0.963,-0.349,-0.356,-4.089,-9.338,2.686
0.980,-0.353,-0.369,-5.920,-9.888,3.479
0.995,-0.353,-0.384,-6.348,-9.583,4.517
1.000,-0.356,-0.394,-5.371,-9.583,5.554
1.010,-0.359,-0.404,-4.028,-10.742,7.019
1.040,-0.380,-0.432,-3.113,-12.146,9.094
1.092,-0.411,-0.464,-2.747,-13.123,10.498
1.168,-0.464,-0.499,-2.258,-13.794,11.292
1.272,-0.534,-0.551,-0.305,-13.123,14.343
1.406,-0.613,-0.654,1.282,-10.376,19.409
1.532,-0.679,-0.755,1.892,-9.033,26.855
1.605,-0.715,-0.828,5.127,-10.864,36.499
1.641,-0.729,-0.863,16.846,-12.634,46.936
1.647,-0.735,-0.862,36.133,-12.512,55.969
1.675,-0.756,-0.851,56.580,-10.742,62.988
1.696,-0.796,-0.846,72.815,-6.409,69.153
1.689,-0.837,-0.838,86.670,0.488,77.026
1.622,-0.840,-0.812,102.112,7.751,86.304
1.537,-0.798,-0.790,120.056,13.916,96.130
1.443,-0.735,-0.762,138.428,21.240,104.919
1.339,-0.717,-0.739,159.546,32.227,110.596
1.284,-0.714,-0.774,179.504,47.241,113.647
1.241,-0.731,-0.862,194.092,62.317,115.906
1.214,-0.775,-0.911,205.505,75.378,122.070
1.121,-0.683,-0.991,225.525,88.623,130.737
1.023,-0.723,-1.039,260.498,99.304,134.644
0.935,-0.709,-1.117,293.396,110.168,139.343
0.850,-0.678,-1.160,322.327,114.136,142.151
0.760,-0.634,-1.177,344.727,110.962,143.433
0.638,-0.588,-1.200,360.596,100.769,142.151
0.505,-0.534,-1.175,370.117,81.482,137.817
0.358,-0.460,-1.184,372.986,54.871,130.676
0.225,-0.397,-1.124,373.474,24.902,122.314
0.041,-0.381,-0.998,379.578,-5.066,112.549
-0.007,-0.332,-0.859,388.306,-26.917,98.938
-0.097,-0.300,-0.757,394.226,-41.931,84.595
-0.109,-0.255,-0.696,391.602,-53.711,68.115
-0.078,-0.174,-0.589,380.859,-69.397,49.744
-0.142,-0.041,-0.480,366.638,-95.093,31.494
-0.167,0.012,-0.373,349.548,-122.559,21.790
-0.199,0.041,-0.211,328.369,-148.865,13.000
-0.275,0.040,-0.048,312.927,-167.847,1.953
-0.307,-0.027,0.112,310.669,-171.509,-12.573
-0.271,-0.100,0.205,317.383,-157.959,-27.893
-0.175,-0.107,0.261,323.669,-135.498,-39.917
-0.104,-0.074,0.332,323.608,-116.760,-44.617
0.486,-1.028,1.510,208.923,-57.739,-75.928
0.583,-1.233,1.698,203.857,-44.800,-89.355
0.838,-1.450,1.925,190.247,-19.470,-103.577
1.139,-1.504,2.125,162.048,-2.563,-110.840
1.322,-1.477,2.193,120.728,0.061,-100.342
1.397,-1.386,2.124,69.580,11.230,-68.909
1.377,-1.306,1.893,16.357,29.846,-21.301
1.248,-1.175,1.595,-28.076,43.213,28.687
1.076,-1.041,1.369,-55.603,56.580,75.867
0.923,-0.923,1.208,-66.284,73.059,109.436
0.832,-0.762,1.093,-66.956,87.097,125.732
0.752,-0.636,1.021,-63.660,97.473,135.132
0.721,-0.511,0.985,-63.477,102.661,141.235
0.676,-0.432,0.950,-68.420,99.426,144.714
0.599,-0.386,0.938,-77.515,95.764,140.320
0.618,-0.326,0.939,-88.745,95.337,126.404
0.622,-0.289,0.926,-97.900,87.280,117.310
0.610,-0.279,0.891,-108.887,75.500,114.075
0.597,-0.288,0.888,-124.207,73.181,115.784
0.612,-0.307,0.859,-139.404,72.998,116.272
0.623,-0.320,0.812,-151.855,72.266,115.234
0.607,-0.305,0.747,-163.147,74.524,115.173
0.592,-0.282,0.683,-173.218,78.735,118.225
0.561,-0.268,0.588,-179.565,82.825,121.216
0.511,-0.245,0.498,-181.946,88.623,122.559
0.501,-0.227,0.409,-180.481,97.656,122.131
0.497,-0.197,0.362,-179.260,106.750,121.582
0.512,-0.189,0.307,-178.101,114.014,123.352
0.511,-0.168,0.273,-179.077,120.056,128.784
0.444,-0.149,0.238,-183.350,124.451,137.512
0.500,-0.091,0.251,-187.439,133.667,145.630
0.364,-0.100,0.064,-186.279,131.958,158.325
