aX,aY,aZ,gX,gY,gZ
-0.286,-0.498,0.866,-6.165,-10.315,17.456
-0.271,-0.494,0.851,-4.700,-8.667,10.315
-0.234,-0.491,0.853,-0.854,-6.836,2.991
-0.179,-0.504,0.853,1.038,-4.639,-1.770
-0.131,-0.526,0.851,-1.160,-3.540,-3.845
-0.102,-0.549,0.817,-5.005,-1.892,-4.211
-0.082,-0.589,0.780,-7.202,0.488,-2.563
-0.066,-0.616,0.765,-6.592,2.502,-0.366
-0.050,-0.620,0.762,-3.845,4.517,1.709
-0.053,-0.605,0.744,-1.709,6.958,3.784
-0.038,-0.576,0.725,-1.160,9.705,3.540
-0.029,-0.541,0.720,1.038,9.338,1.465
-0.040,-0.535,0.719,4.395,7.080,-0.488
-0.037,-0.565,0.730,7.996,4.089,-2.319
-0.020,-0.606,0.777,11.719,0.671,-3.540
-0.012,-0.650,0.816,13.977,-0.732,-3.540
-0.007,-0.685,0.839,12.756,-0.427,-2.808
-0.009,-0.694,0.854,8.545,-0.244,-2.808
-0.030,-0.688,0.862,3.357,0.061,-2.502
-0.055,-0.673,0.861,-0.244,1.282,-1.831
-0.076,-0.656,0.856,-1.770,2.869,-0.854
-0.095,-0.660,0.831,-2.197,4.456,-0.183
-0.096,-0.672,0.821,-1.099,5.127,-1.526
-0.064,-0.682,0.820,1.526,6.348,-3.296
-0.023,-0.681,0.822,2.747,7.324,-3.540
-0.010,-0.663,0.831,1.648,7.019,-1.648
-0.013,-0.636,0.820,-1.648,7.019,1.404
-0.016,-0.615,0.785,-6.775,7.568,3.967
-0.020,-0.594,0.746,-12.268,6.165,4.883
-0.038,-0.577,0.711,-15.137,3.479,5.981
-0.072,-0.559,0.667,-13.977,1.953,6.531
-0.076,-0.540,0.647,-9.033,1.038,4.089
-0.069,-0.536,0.669,-1.465,-0.427,-0.305
-0.040,-0.550,0.703,5.005,-2.258,-4.333
-0.020,-0.575,0.730,7.263,-4.761,-6.775
