aX,aY,aZ,gX,gY,gZ
0.034,-1.958,2.515,92.590,39.063,5.859
0.135,-2.123,2.482,30.640,37.231,10.498
0.101,-2.064,2.112,-42.480,57.678,51.392
0.025,-1.916,1.894,-48.828,78.430,79.346
-0.053,-1.738,1.716,-44.983,92.468,101.929
-0.111,-1.603,1.598,-36.926,104.004,116.821
-0.149,-1.485,1.512,-26.550,122.620,124.939
-0.142,-1.431,1.439,-14.038,142.517,132.202
-0.132,-1.420,1.413,-5.920,155.884,139.038
-0.130,-1.417,1.399,-6.226,164.429,143.982
-0.108,-1.411,1.364,-14.709,170.227,149.536
-0.080,-1.399,1.287,-25.452,175.720,156.494
-0.075,-1.341,1.142,-35.461,179.871,164.551
-0.087,-1.255,0.967,-47.363,178.162,173.523
-0.124,-1.136,0.830,-62.500,168.274,180.054
-0.195,-1.035,0.811,-78.308,158.447,184.692
-0.233,-0.987,0.769,-90.637,157.593,188.110
-0.245,-0.922,0.670,-101.929,165.894,192.627
-0.262,-0.844,0.523,-110.962,175.659,200.317
-0.291,-0.768,0.356,-113.892,181.824,211.060
-0.346,-0.634,0.128,-113.831,183.594,221.497
-0.426,-0.453,-0.121,-112.305,180.054,228.882
-0.501,-0.245,-0.357,-111.328,172.363,227.722
-0.545,-0.037,-0.592,-113.098,156.555,215.393
-0.534,0.149,-0.806,-117.188,129.578,196.045
-0.468,0.249,-0.987,-120.850,96.436,172.302
-0.412,0.306,-1.149,-122.314,64.819,150.330
-0.413,0.423,-1.336,-119.446,41.382,138.000
-0.454,0.610,-1.536,-110.901,25.696,132.935
-0.564,0.833,-1.742,-95.703,12.268,127.258
-0.636,1.023,-1.995,-75.745,-8.606,117.615
-0.643,1.185,-2.239,-54.626,-40.161,101.074
-0.727,1.247,-2.287,-34.607,-84.229,73.730
-0.876,1.325,-2.243,-16.296,-131.165,44.312
-0.964,1.373,-2.171,-1.099,-171.875,18.066
-0.990,1.392,-2.087,9.766,-203.064,-5.066
-1.141,1.051,-2.000,22.461,-223.389,-25.330
-1.042,1.381,-1.973,72.388,-245.483,-39.734
-0.856,1.329,-1.648,101.135,-272.400,-55.420
-0.808,1.161,-1.481,85.632,-289.856,-76.538
-0.991,0.782,-1.352,57.068,-314.453,-94.238
-1.050,0.513,-1.125,54.321,-342.102,-105.957
-1.011,0.280,-0.876,71.899,-362.549,-114.746
-1.025,-0.020,-0.713,89.355,-369.385,-118.408
-1.022,-0.165,-0.307,88.806,-377.258,-114.136
-1.092,-0.395,0.073,81.604,-385.925,-111.633
-1.074,-0.517,0.677,67.993,-391.968,-113.220
-1.064,-0.704,1.237,70.251,-394.714,-122.559
-1.075,-0.874,1.827,82.031,-377.380,-129.395
-1.095,-1.004,2.180,113.159,-330.444,-131.531
-1.129,-1.142,2.418,140.198,-268.311,-121.643
-1.039,-1.214,2.688,144.897,-215.393,-96.802
-0.966,-1.173,2.869,141.296,-165.466,-73.120
-0.897,-1.095,2.904,132.935,-123.779,-59.753
-0.792,-1.062,2.844,113.281,-91.370,-49.438
-0.725,-0.985,2.766,87.463,-57.983,-40.955
-0.714,-0.924,2.652,68.665,-22.949,-36.255
-0.648,-0.854,2.413,56.152,16.785,-37.354
-0.526,-0.813,2.117,44.067,60.730,-36.743
-0.550,-0.820,1.862,38.940,97.229,-33.325
-0.416,-0.638,1.687,24.536,164.429,-65.491
-0.352,-0.680,1.910,9.155,125.183,-44.006
-0.170,-0.788,1.735,40.222,11.414,36.133
-0.086,-0.743,1.518,55.847,-27.771,39.429
-0.123,-0.716,1.503,49.377,-42.725,2.319
-0.268,-0.727,1.518,33.325,-57.373,-27.588
-0.229,-0.813,1.462,29.785,-45.593,-38.086
-0.099,-0.672,2.380,50.781,-19.409,-44.556
-0.095,-1.014,1.009,140.381,33.508,-44.312
-0.393,-0.833,1.229,131.775,58.289,-40.710
-0.189,-0.954,1.269,102.600,87.952,-25.024
0.095,-0.841,1.066,104.919,102.417,-10.437
0.171,-0.744,0.875,106.567,73.547,-22.644
0.027,-0.810,0.690,96.497,8.545,-18.311
0.018,-0.664,1.379,55.969,-31.494,-16.052
-0.161,-0.845,1.420,54.382,-23.865,2.747
-0.153,-0.749,1.248,67.139,16.418,18.005
-0.097,-0.616,1.048,49.805,7.812,23.865
-0.220,-0.548,2.033,31.128,21.118,14.832
-0.182,-1.004,1.356,49.072,60.425,10.132
-0.167,-0.948,1.177,32.349,88.623,16.113
